瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁柯档(∑C)
184,力林,2021-01-06 3:00,2.8,0,5.8,360,71,1025.3,,,,9,2.5
184,力林,2021-01-06 4:00,3,,4.9,340,71,1025.2,,,,9,2.5
184,力林,2021-01-06 5:00,2.4,,5.5,360,81,1024.8,,,,9,1.5
184,力林,2021-01-06 6:00,3.1,0.1,6.1,360,77,1024.4,,,,9,2.3
184,力林,2021-01-06 7:00,3,,5.7,320,69,1024.6,,,,9,2
184,力林,2021-01-06 8:00,3.4,,5.2,320,60,1024.6,0,0,,8,2
184,力林,2021-01-06 9:00,3.8,0,5.7,320,56,1024.7,0,0.05,,9,2.7
184,力林,2021-01-06 10:00,3.9,,5.4,320,58,1024.4,0,0.36,,8,4.1
184,力林,2021-01-06 11:00,4,,5.5,320,59,1024.4,0,0.39,,8,4.3
184,力林,2021-01-06 12:00,4.1,0,5,320,63,1023.1,0,0.61,,9,5.4
184,力林,2021-01-06 13:00,4.2,,5.9,320,62,1021.2,0.1,0.81,,7,6.1
184,力林,2021-01-06 14:00,5.4,,5.4,270,48,1020.9,0.7,1.68,,6,12.5
184,力林,2021-01-06 15:00,4.8,0,5.6,290,43,1020.8,0.6,1.06,,6,7
184,力林,2021-01-06 16:00,4.3,,5,320,46,1021,0.2,0.56,,8,4.7
184,力林,2021-01-06 17:00,3.9,,5.2,290,52,1021.3,0,0.16,,10,3.7
184,力林,2021-01-06 18:00,4,,5,290,49,1020.7,0,0.03,,10,2.7
184,力林,2021-01-06 19:00,4,,5.2,290,49,1021.1,,,,9,2.3
184,力林,2021-01-06 20:00,4.4,,4.7,290,51,1021.7,,,,10,2.7
184,力林,2021-01-06 21:00,4.6,,5.1,270,53,1020.5,,,,10,2.8
184,力林,2021-01-06 22:00,5.2,,6.7,270,55,1019.5,,,,10,3
184,力林,2021-01-06 23:00,3.5,,8.2,320,88,1019.1,,,,10,3.2
184,力林,2021-01-07 0:00,4.4,0.5,10.8,320,74,1020.2,,,,10,3.3
184,力林,2021-01-07 1:00,3.2,,11.3,320,65,1021,,,,9,2.5
184,力林,2021-01-07 2:00,2.2,,8.7,290,67,1021.8,,,,10,1.6
184,力林,2021-01-07 3:00,0.9,0,9.7,290,71,1021.8,,,,9,0.9
184,力林,2021-01-07 4:00,0.3,,7.9,290,71,1021.5,,,,9,0.6
184,力林,2021-01-07 5:00,0.3,,9.5,290,62,1021.7,,,0.1,9,0.6
184,力林,2021-01-07 6:00,-0.5,0.1,8.4,290,66,1022.3,,,0.1,9,0.4
184,力林,2021-01-07 7:00,-1,,8.8,320,67,1022.8,,,0.1,9,0.4
184,力林,2021-01-07 8:00,0,,8.4,320,58,1022.8,0,0,0.1,9,0.6
184,力林,2021-01-07 9:00,-2.1,0.7,7.9,320,89,1023.8,0,0.09,0.2,9,0.7
184,力林,2021-01-07 10:00,-2,,8.9,340,90,1024.1,0,0.22,1.5,9,0.9
184,力林,2021-01-07 11:00,-2.5,,7.7,340,87,1023.8,0,0.36,1.5,9,1.1
184,力林,2021-01-07 12:00,-1.4,1.8,8.5,340,77,1023.2,0,0.48,1.6,9,1.1
184,力林,2021-01-07 13:00,-1.5,,6,360,76,1022.7,0,0.63,1.4,9,1.2
184,力林,2021-01-07 14:00,-1.6,,8.8,340,74,1022.6,0,0.55,1.4,9,1.3
184,力林,2021-01-07 15:00,-1.1,0.3,5.7,340,80,1022.3,0,0.39,1.6,9,1.2
